,text,sentiment
0,dhepburn said,1
1,plus youve added commercials experience tacky,2
2,didnt today must mean need take another trip,1
3,really aggressive blast obnoxious entertainment guests faces amp little recourse,0
4,really big bad thing,0
5,seriously would pay flight seats didnt playing really bad thing flying va,0
6,yes nearly every time fly vx ear worm wont go away,2
7,really missed prime opportunity men without hats parody,1
8,well didntbut,2
9,amazing arrived hour early youre good,2
10,know suicide second leading cause death among teens,1
11,lt pretty graphics much better minimal iconography,2
12,great deal already thinking nd trip australia amp havent even gone st trip yet p,2
13,virginmedia im flying fabulous seductive skies u take stress away travel,2
14,thanks,2
15,sfopdx schedule still mia,0
16,excited first cross country flight lax mco ive heard nothing great things virgin america daystogo,2
17,flew nyc sfo last week couldnt fully sit seat due two large gentleman either side help,0
18,flying virginamerica,2
19,know would amazingly awesome bosfll please want fly,2
20,first fares may three times carriers seats available select,0
21,love graphic,2
22,love hipster innovation feel good brand,2
23,making bosgtlas non stop permanently anytime soon,1
24,guys messed seating reserved seating friends guys gave seat away want free internet,0
25,status match program applied three weeks called emailed response,0
26,happened ur vegan food options least say ur site know wont able eat anything next hrs fail,0
27,miss dont worry well together soon,1
28,amazing cant get cold air vents vx noair worstflightever roasted sfotobos,0
29,lax ewr middle seat red eye noob maneuver sendambien andchexmix,1
30,hi bked cool birthday trip cant add elevate cause entered middle name flight booking problems,0
31,hours operation club sfo posted online current,1
32,help left expensive headphones flight iad lax today seat one answering lampf number lax,0
33,awaiting return phone call would prefer use online selfservice option,0
34,great news america could start flights hawaii end year via pacificbiznews,2
35,rt virginamerica vibe moodlight takeoff touchdown moodlitmonday sciencebehindtheexperience,1
36,moodlighting way fly best experience ever cool calming moodlitmonday,2
37,freddieawards done done best airline around hands,2
38,book flight hawaii,1
39,chat support working site,0
40,view downtown los angeles hollywood sign beyond rain mountains,2
41,hey first time flyer next week excited im hard time getting flights added elevate account help,0
42,plz help win bid upgrade flight laxgtsea,1
43,unused ticket moved new city dont fly fly expires travelhelp,1
44,flights leaving dallas seattle time feb,1
45,im elevategold good reason rock,2
46,dream,1
47,wow blew mind,2
48,ladygaga carrieunderwood last night tribute soundofmusic oscars ladygaga think carrieunderwood agree,1
49,ladygaga carrieunderwood entertaining,1
50,flight way supposed take minutes ago website still shows time flight thanks,1
51,ladygaga carrieunderwood julie andrews way though ladygaga impressive carrieunderwood,2
52,wish flew atlanta soon,1
53,ladygaga carrieunderwood julie andrews hands,1
54,flights leaving dallas la february th,1
55,hi im excited lgagtdal deal ive trying book since last week amp page never loads thx,0
56,know need spotify stat guiltypleasures,2
57,ladygaga carrieunderwood im lady gaga amazing,2
58,ladygaga carrieunderwood carrie,1
59,new marketing song let us know think,1
60,ladygaga carrieunderwood julie andrews first lady gaga wowd last night carrie meh,1
61,called weeks ago adding flights elevatethey still havent shown uphelp,0
62,ladygaga carrieunderwood great go carrieunderwood,1
63,ladygaga carrieunderwood sorry mary martin first,1
64,ladygaga carrieunderwood love three really cant beat classics,2
65,flight dal dca pm tried check could status please,1
66,heyyyy guyyyys trying get hour someone call please,0
67,hi virgin im hold minutes earlier flights la nyc tonight earlier pm,0
