,text,sentiment
0,last session day,1
1,shanghai also really exciting precisely skyscrapers galore good tweeps china sh bj,2
2,recession hit veronique branquinho quit company shame,0
3,happy bday,2
4,like,2
5,thats great weee visitors,2
6,think everyone hates lol,0
7,soooooo wish could im school myspace completely blocked,0
8,within short time last clue,1
9,get day alright havent done anything yet leaving soon stepsister though,1
10,bike put holdshould known argh total bummer,0
11,checked didnt win,1
12,youre twitter tavern bore much,1
13,im va weekend youngest son turns tomorrowit makes kinda sad getting big check twipics,0
14,coming socket feel like phones hole virgin thats loose,0
15,hot today dont like hate new timetable bad week,0
16,miss,0
17,cramps,0
18,guys didnt say hi answer questions yesterday nice songs,2
19,im going spiritual stagnentation exploding ego realise im great im ok,1
20,stupid storm river us tonight,0
21,dead grandpa pays attention,0
22,need retail therapy bad ahhhgimme money geebus,0
23,go sleep,1
24,lame go make breakfast,0
25,thats cool,2
26,hey peoples dont hate grounded haha im sat eating apple watching death note anime,1
27,huh another scarepoint coding sunday,1
28,look found,2
29,ac fan doesnt swing way sweating hot humid day,0
30,guess depends want jury,1
31,resorted eating mickey ds alone,1
32,faux gothy chick looking sorry going camden like poppunk jimmy eat world,1
33,ask twitter id sun sign,1
34,whered go,1
35,watching body liesgood film,2
36,happy mothers day mumm xoxo,2
37,really need put laptop start getting ready shindigbut ive missed twitterloves day,1
38,im sorry least friday,0
39,feels sorry every time im printing use like new papers,0
40,n rog never heard esti beat acum u tweet much,0
41,always forget something travel newark airport,1
42,left car walked home might need someone rescue petrol light flashing,1
43,im updating bretts phone beeps really looking wedding stuff againfor next five months,1
44,hi agree small children running happy breaking tears,2
45,hope ur havin fun da club,2
46,miss old phone worked good dropped want new one birthday,1
47,thinks sg wonderful,2
48,im really sorry know wallah u feel life shittttttttt,0
49,happy,0
50,watching acoustic performances mood good friends episode miss show,1
51,ill oscillate one,1
52,im tiredand insomnia,0
53,thanks ennio,2
54,totally come get bring kelslaws house,1
55,seem nice youre generous know stuff,2
56,u dirrrrrty oh pick hawks figured needed longshot better bet car,1
57,almost got kitty yesterdaybut didnt work,1
58,reality needs check schools time party tonight tho im going bed night night,1
59,caladesi definitely nice peaceful way spend sunday got lil tan,2
60,still dont know would though,1
61,xo dang certain okay,1
62,change plans staying brandon papaya salad,1
63,dear rain suck got ta change plans tonight,0
64,starbucks love eff school work later,1
65,cried whilst watching hollyoaks need life lol,0
66,hi recovering party looking forward exciting bank holiday around diy shopslife cant get much bettersurely,2
67,terminator salvation,1
68,fortheloss dumbface u u wknd wan na seeeeeee ya,0
69,enter registration details every time update,1
70,monday wont able love,2
71,ur cuteim fan dream little dream kiss appearances like dawsons creek make flicks,2
72,tgif righti think broke toe last night bad foot,1
73,oherr soon plans party saturday x,1
74,lamont yr young looking dude,2
75,hmmm wrong link ignore tweet,0
76,att cheated system green day tickets att,0
77,tracy berwick breaks achy breaky heart split ways hallways,0
78,yep wish playing dubiln,2
79,im lady ladies dont move couches direct couches go,1
80,yay block party youre bomb blockheads dave thanks supporting nkotb,2
81,th february,1
82,guess mom adopted kitty today months name corky,1
83,happy birthday snickers hope best day ever lets go shopping,2
84,thank im working,2
85,lol man got hrs iont woulda made wit ramen noodles tv time,1
86,feeling well today,0
87,ear hurts medicine gum,0
88,berland lmao know know,1
89,gnight shar,1
90,underwire bra sticking poking armpit,0
91,happy mothers day,2
92,yes,1
93,cant call mitch im sweden,1
94,happy star wars day may fourth,2
95,excited eat wartermelon bought day terrible sweet,1
96,watched marley mei cried hard,0
97,take antibacterial school clean hands cant go loos,1
98,im leaving work trying decide return sunday afternoon monday meet noon uk time deadline,1
99,haaawwell get class hope make,2
100,oooh sunshine patch sunshine gone time leave work replaced rain vent,1
101,skype call billie webcam dont work,1
102,great study time followed delicious japanese meal arty trying get back study mood,2
103,fml car prohibiting finding job,0
104,lol since got twitter little ago seems like loads people setting account,1
105,want see david cook,2
106,yeh,1
107,learning tat scenic way din plan go town somehow herded,1
108,dont want anything specific want see puppy,1
109,yeah need fricken cell number ive tried home months hes busy miss braddddddddd,0
110,toy story trailer premiered need computer back,1
111,ughh phone hp,1
112,hand made dan jenn sock blockers made exotic woods one called purple heart,1
113,yay breaking,2
114,bahah sadly,0
115,always champions league parties tis awesome,2
116,well stay away kinds surround dont happy mothers day ur mom treiz,2
117,adel didnt reply yet wait till confirm case somebody might translated already,1
118,thats rough hubby knee surgery help end let us know results well keep prayers,0
119,might go back much earlier expected bye bye bay area,1
120,playin city villains wishin buddies playin,2
121,yep three things good haircut ability listen value taking seriously,2
122,riley hacked twitter hahaha,1
123,big sad face bing doesnt work iphone takes regular mobile live search,1
124,liked record soothing voice,2
125,man im sad school ending high school might better,1
126,folks thought hilarious told story saw shirt wore tonight laughter night,2
127,youre absoute best,2
128,oh god cried much watch guys bgt,1
129,near daily exercise starting show results,1
130,welcome,2
131,bout hit pmark make one final meals wit housemates,1
132,get go home go work,1
133,voted cmtcom,1
134,got home nice party tired yet,2
135,sunburn,0
136,job nice day better,2
137,wish could go bea weekend,2
138,rupert grint boy ive accepted tht fancy im certain doesnt feel worth telling,1
139,love books,2
140,ok eye doctor guy taking forever im sitting cold room myselfwhat jerk,0
141,im slowing tweetscuase lost phone,0
142,well thank phone,2
143,would take photo stuffed animals thats pretty funny,2
144,tweetdeck acting really strange hum reinstall maybe update horizon another adobe memory leak,1
145,tikcets eachbut want go,2
147,gon na hot today today ryans last day prek cant believe ive sahm since,0
148,dreaming weekend awake,1
149,oh ive returned supermarket doom find nothing drink,0
150,yay missed naptime,1
151,dgroup saturdays little bit football hour nap hours soccer basketball tsu yogurtland lifes good,2
152,set new computer min love norton ghost,2
153,ahhh mommie got new sheets bed comfy,2
154,celeste finally sleep silence,1
155,im im lazy thank god bank holiday,1
156,pretty dang tired chambers class napping,0
157,poop hogging shitter,0
158,yes im full dvr like days ago lol swear didnt dvr would never watch tv,1
159,happy muthaths day moms salute,2
160,hahaha alright,2
161,arent suppossed support local economy lol good congrats,2
162,good know thanks,2
163,flavor day,1
164,weathers let morningughhada gd nite tho,1
165,listened condre scr got invitation watch live concert june th munich postrock,1
166,elo wow brings back many happy memories love bandand yes know im showing age dont care,2
167,thats cute picture dont get fat licking bbqs must found chops someone elses,2
168,oh love sunday mornings like mum made scrambled eggs toast,2
169,hate working sunnyboohoo,0
170,online,1
171,bundy days warm weather come,1
172,wondering cld make things worse already answer,0
173,dutch marketing agency asking job applicants apply characters less,1
174,twitter spoiled fun frustratingly slow couldnt even bid properly,0
175,chick haha completely agree,2
176,dont pack cant leave right,1
177,lolwhere u headed,1
178,going bed great night friend glad know feelings classes someone else,2
179,many mine included ahem shld known better back wldnt missed many opportunities haha,0
180,nice leave office sun still,2
181,miss soccer moms,0
182,garlic pills spider bite toe lolclassic always hungry u killing funny,1
183,sighs ah well maybe second email clear get approved,1
184,missed tweets joe time difference uk dont get fave supporters uk,1
185,came mind said adapted familys vocabulary,1
186,looking forward body works today,1
187,watched yes man bahaha movie messed,0
188,sadly think know exactly put itin expired drawer things life span less two years,0
